TOTEMP,GNPDEFL,GNP,UNEMP,ARMED,POP
60323,83,234289,2356,1590,107608
61122,88.5,259426,2325,1456,108632
60171,88.2,258054,3682,1616,109773
61187,89.5,284599,3351,1650,110929
63221,96.2,328975,2099,3099,112075
63639,98.1,346999,1932,3594,113270
64989,99,365385,1870,3547,115094
63761,100,363112,3578,3350,116219
66019,101.2,397469,2904,3048,117388
67857,104.6,419180,2822,2857,118734
68169,108.4,442769,2936,2798,120445
66513,110.8,444546,4681,2637,121950
68655,112.6,482704,3813,2552,123366
69564,114.2,502601,3931,2514,125368
69331,115.7,518173,4806,2572,127852
70551,116.9,554894,4007,2827,130081
